resort_name,state,summit,base,vertical,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon,
"Granite Gorge, NH",New Hampshire ,,,525,2,17,25,0.35,8.75,0.35,8.75,0.3,7.5,43.27965,-71.67481,127
"Gunstock, NH",New Hampshire ,2300,900,1400,7,55,227,0.12,27.24,0.61,138.47,0.27,61.29,42.91,-71.08,239
"Mount Sunapee, NH",New Hampshire ,2743,1230,1510,11,66,232,0.26,60.32,0.49,113.68,0.25,58,43.35,-72.07,249
"Waterville Valley, NH",New Hampshire ,4004,1984,2020,10,52,220,0.2,44,0.6,132,0.2,44,43.88079,-71.59549,293
"Whaleback, NH",New Hampshire ,1800,1100,700,4,30,85,0.28,23.8,0.39,33.15,0.33,28.05,44.82,-71.05,162
"Campgaw Mountain, NJ",New Jersey,720,450,270,6,5,18,0.7,12.6,0.2,3.6,0.1,1.8,41.05,-74.21,45
"Hidden Valley, NJ",New Jersey,1435,815,640,4,13,36,0.25,9,0.3,10.8,0.45,16.2,40.64,-74.88,145
"Angel Fire, NM",New Mexico,10677,8600,2077,7,77,560,0.26,145.6,0.5,280,0.24,134.4,36.39,-105.29,298
"Red River, NM",New Mexico,10350,8750,1600,7,57,290,0.32,92.8,0.38,110.2,0.3,87,36.72,-105.41,257
"Sipapu, NM",New Mexico,9255,8200,1055,5,41,200,0.2,40,0.4,80,0.4,80,36.15,-105.55,208
"Ski Apache, NM",New Mexico,12000,10100,1900,11,55,750,0.2,150,0.6,450,0.2,150,33.4,-105.78,283
"Dry Hill, NY",New York,950,650,300,3,7,42,0.33,13.86,0.34,14.28,0.33,13.86,41,-76.08997345,61
"Hunter Mountain, NY",New York,3200,1600,1600,10,55,240,0.3,72,0.3,72,0.4,96,42.18,-74.24,259
"Labrador Mountain, NY",New York,1825,1125,700,4,22,250,0.33,82.5,0.34,85,0.33,82.5,40.71,-74.01,161
"Mt. Peter, NY",New York,1250,750,450,4,14,60,0.33,19.8,0.34,20.4,0.33,19.8,41.23,-74.29,101
Plattekill Mountain,New York,3300,2200,1100,4,38,75,0.2,15,0.4,30,0.4,30,41.74361,-74.07946,213
"Sawkill, NY",New York,,,70,1,2,6,0.7,4.2,0.3,1.8,,0,41.6,-74.18,2
"Tuxedo Ridge, NY",New York,1400,950,400,4,7,100,0.2,20,0.7,70,0.1,10,41.33,-74.12,91
"Alpine Valley, OH",Ohio,1500,1260,230,6,11,72,0.33,23.76,0.34,24.48,0.33,23.76,40,-83.68086243,29
"Boston Mills/Brandywine, OH",Ohio,660,420,264,16,17,88,0.27,23.76,0.27,23.76,0.46,40.48,40.07,-82.95,43
"Anthony Lakes, OR",Oregon,8000,7100,900,3,21,1100,0.2,220,0.38,418,0.42,462,49,-119.8813,179
"Cooper Spur, OR",Oregon,4350,4000,350,2,10,50,0.4,20,0.4,20,0.2,10,45.5376,-121.5698,72
"Hoodoo, OR",Oregon,5703,4668,1035,7,30,806,0.3,241.8,0.3,241.8,0.4,322.4,43.89,-121.43,205
"Mt. Ashland, OR",Oregon,7500,6350,1150,4,23,200,0.05,10,0.2,40,0.75,150,42.09,-122.72,217
"Mt. Bachelor, OR",Oregon,9065,6300,3365,14,71,3683,0.15,552.45,0.25,920.75,0.6,2209.8,48,-123.0951385,349
"Mt. Hood Meadows, OR",Oregon,7300,4523,2777,13,85,2150,0.15,322.5,0.5,1075,0.35,752.5,45.3115,-121.64546,333
"Spout Springs, OR",Oregon,5500,4850,635,2,16,250,0.45,112.5,0.35,87.5,0.2,50,45.75311,-118.05214,143
"Summit, OR",Oregon,4300,4000,306,2,6,70,0.75,52.5,0.25,17.5,0,0,45.2401,-120.18597,63
"Warner Canyon, OR",Oregon,6000,5720,1000,1,22,200,0.51,102,0.46,92,0.03,6,42.25,-120.37,188
"Alpine Mountain, PA",Pennsylvania,1150,600,500,3,21,120,0.17,20.4,0.55,66,0.28,33.6,41,-80.33358002,118
"Big Boulder, PA",Pennsylvania,2175,1700,475,8,15,55,0.4,22,0.35,19.25,0.25,13.75,41.05,-75.59,108
"Boyce Park, PA",Pennsylvania,1232,1072,160,3,4,25,0.75,18.75,0.25,6.25,,0,40.46,-79.75,8
"Eagle Rock, PA",Pennsylvania,1810,1300,550,3,14,43,0.6,25.8,0.1,4.3,0.3,12.9,39.83,-77.53,129
"Hidden Valley, PA",Pennsylvania,2875,2405,470,11,31,110,0.31,34.1,0.45,49.5,0.24,26.4,40.06,-79.26,105
"Jack Frost, PA",Pennsylvania,2000,1400,600,9,21,100,0.2,20,0.4,40,0.4,40,41.1,-75.66,139
"Liberty Mountain, PA",Pennsylvania,1190,800,600,8,16,100,0.35,35,0.4,40,0.25,25,41.16826,-75.8859,137
"Mount Pleasant of Edinboro, PA",Pennsylvania,1550,1230,320,3,8,25,0.2,5,0.7,17.5,0.1,2.5,41.85,-80.07,70
"Mystic Mountain, PA",Pennsylvania,2030,1730,300,3,6,25,0.4,10,0.35,8.75,0.25,6.25,41.10632,-75.93307,60
"Roundtop, PA",Pennsylvania,1400,800,600,10,16,100,0.38,38,0.32,32,0.3,30,40.11346,-79.58155,138
"Shawnee Mountain, PA",Pennsylvania,1350,650,700,12,23,125,0.25,31.25,0.5,62.5,0.25,31.25,41.00108,-75.45532,160
"Ski Denton, PA",Pennsylvania,2500,1850,650,4,22,75,0.35,26.25,0.35,26.25,0.3,22.5,41.19,-77.21,147
"Ski Sawmill, PA",Pennsylvania,2215,1700,515,5,12,15,0.33,4.95,0.34,5.1,0.33,4.95,41.52,-77.29,124
"Spring Mountain, PA",Pennsylvania,528,108,420,6,8,100,0.4,40,0.4,40,0.2,20,40.26,-75.45,94
"Tussey Mountain, PA",Pennsylvania,1810,1310,500,5,7,50,0.3,15,0.45,22.5,0.25,12.5,39.8,-78.55,117
"Whitetail Mountain, PA",Pennsylvania,1800,865,935,9,23,109,0.22,23.98,0.53,57.77,0.25,27.25,40.74705,-77.55039,182
"Yawgoo, RI",Rhode Island,315,70,245,4,12,36,0.5,18,0.3,10.8,0.2,7.2,41.46146,-71.1954,35
"Great Bear, SD",South Dakota,,,183,5,12,20,0.25,5,0.5,10,0.25,5,43.42767,-103.47784,12
"Ski Mystic, SD",South Dakota,6850,6000,850,4,44,300,0.4,120,0.4,120,0.2,60,44.08,-103.63,176
"Terry Peak, SD",South Dakota,7052,5900,1100,5,30,450,0.2,90,0.6,270,0.2,90,44.33,-103.83,212
"Ober Gatlinburg, TN",Tennessee,3300,2700,600,5,9,32,0.25,8,0.5,16,0.25,8,35.51,-86.59,136
"Alta, UT",Utah,10550,8530,2020,11,116,2200,0.25,550,0.4,880,0.35,770,40.6,-111.64,292
"Beaver Mt, UT",Utah,8800,7100,1700,5,47,828,0.25,207,0.4,331.2,0.35,289.8,41.97,-111.57,264
"Brighton,  UT",Utah,10500,8755,1745,5,66,1050,0.21,220.5,0.4,420,0.39,409.5,43,-76.12236786,270
"Dear Valley, UT",Utah,9570,6570,3000,21,100,2026,0.27,547.02,0.4,810.4,0.33,668.58,40.61,-111.5,339
